exhibit_number,id,Production date,Find spot,Materials,Technique,Inscription,Subjects,Assoc name,Culture,Section,Place,description,production_year_min,production_year_max,is_date_range,date_parse_status,find_spot_city,find_spot_country,location_parse_status
30,6196,1837-1901 (setting),Excavated/Findspot: Kouyunjik (probably),chalcedony; gold,drilled,,mammal; mythical figure/creature; arachnid; bird; arms/armour; sun/moon; fish; deity; priest/priestess; devotee/worshipper,Associated with: Lady Layard,Neo-Assyrian; Late Babylonian,Mesopotamian,iraq,"This exquisite chalcedony cylinder seal, originating from the Neo-Assyrian to Late Babylonian period and possibly dating back to ancient Mesopotamia, is a captivating artifact both in form and detail. Crafted from pale-grey, clouded chalcedony, the seal depicts a dynamic scene characterized by a likely female worshipper with extended hands, standing opposite a beardless deity, presumed to be a goddess adorned with a globular, horned headdress and a detailed, tiered skirt. Adding to the mythical tableau is a bearded scorpion-man, whose form merges human traits with a bird or lion’s hindquarters, signified by distinctive drill-hole markings. Noteworthy within the composition are celestial and mythological symbols, including a crescent and a cross-legged table, along with a horizontally swimming fish and a possibly symbolic dagger or stylus. The seal is currently mounted as an earring, encased in a gold setting featuring a chevron design. This setting was added in the Victorian era, complementing a matching necklace and indicating a sophistication in craftsmanship. Though the original edges may have been filed for consistency with its pair, the caps obscure the seal’s ends, preserving its intricate quarry of motifs. This exceptional piece was discovered in Kouyunjik, Iraq, likely connected to Lady Layard, and serves as an emblem of ancient religious and artistic expression.",1837.0,1901.0,True,success,Kouyunjik,Iraq,success
31,6310,2600BC - 2300BC,Excavated/Findspot: South East Palace (Nimrud),lapis lazuli,engraved,,bird; mammal; vessel; eating/drinking,,Early Dynastic III,Mesopotamian,iraq,"This exquisite Early Dynastic III cylinder seal, crafted between 2600 and 2300 BCE, originates from the Mesopotamian region of Iraq. Fashioned from rich blue lapis lazuli, it is intricately engraved in two distinct registers. The upper register depicts a seated figure holding a cup or bowl, positioned before an eagle attacking a goat and a stag, while a hatched ornament elegantly separates this scene from the lower register. Below, the lower register features a table with two figures seated opposite each other, indulging in a drink from a large vessel through pipes, surrounded by symbolic motifs. Unearthed at the South East Palace in Nimrud, this artifact illuminates the complex social and ceremonial practices of its era, providing valuable insights into the cultural and artistic expressions of ancient Mesopotamian society.",-2600.0,-2300.0,True,success,South East Palace,Iraq,success
32,6369,2400BC-2200BC,Excavated/Findspot: Ur (historic - city),quartz,glazed,,fish; vessel,,Jemdet Nasr; Akkadian,Mesopotamian,iraq,"This exquisite Mesopotamian artifact is a sintered quartz cylinder seal, dating from 2400 to 2200 BCE, originating from the culturally rich Jemdet Nasr and Akkadian periods. The seal is adorned with traces of now red or black glaze, revealing a distinctive whitish core beneath. Its artistry is divided into two registers of geometric designs; the upper register features two pots and two fish, while the lower register presents cross-hatched lines flanked by a parallel border. Despite a sizeable chip missing from the seal, the intricate craftsmanship remains evident. The seal's provenance is significant, having been excavated from the historic city of Ur in modern-day Iraq, thus offering a glimpse into the intricate social and cultural practices of early Mesopotamian civilization.",-2400.0,-2200.0,True,success,Ur,Iraq,success
33,6396,645BC (c.),Excavated/Findspot: North Palace (Nineveh),gypsum,carved,,lotus; plant,,Neo-Assyrian,Mesopotamian,iraq,"This Neo-Assyrian gypsum door-sill, dating to approximately 645 BCE, is intricately carved to resemble a carpet, encapsulating the artistic finesse of the era. Adorned with two distinct borders, the outer perimeter showcases an alternating pattern of lotus flowers and buds, while the inner edge is lined with palmettes. These borders are elegantly separated by delicate rows of rosettes, motifs that also intricately adorn the central grid of the carpet design. Within the square sections, clusters of four lotus heads alternate charmingly with four buds or pods, exemplifying the rich botanical motif of the artifact. This beautifully crafted piece, excavated from the North Palace in Nineveh, Iraq, offers a glimpse into the decorative sensibilities of the Assyrian empire, highlighting the symbolic use of plant imagery in architectural elements.",-645.0,-645.0,False,success,North Palace,Iraq,success
34,6401,3300BC-3000BC,Excavated/Findspot: Ur (historic - city),stone,carved,,cattle,,Late Uruk,Mesopotamian,iraq,"This Late Uruk period stone artifact, dating from 3300-3000 BC, is a carved depiction of a calf, notable for its functional hole designed to accommodate a vertical post through its body. Reflective of Mesopotamian craftsmanship, this piece embodies cultural and symbolic attributes associated with cattle, a significant element in Uruk society. The artifact was excavated at the historic city of Ur, located in present-day Iraq, offering valuable insights into the material culture and artistic expressions of this ancient civilization.",-3300.0,-3000.0,True,success,Ur,Iraq,success
35,6403,6000BC-5000BC,Excavated/Findspot: Arpachiyah,stone,incised,,eroticism/sex,,Halaf,Mesopotamian,iraq,"This stone figurine, dating from 6000-5000 BC, originates from the Halaf culture, which flourished in ancient Mesopotamia, specifically in the region now known as Iraq. The artifact, unearthed at Arpachiyah, represents a schematic form with exaggerated sexual organs, featuring an incised pubic triangle and notably lacking arms. Crafted with incising techniques, it reflects the period's artistic expression concerning themes of eroticism and fertility. This figurine provides valuable insights into the societal and cultural norms of the Halaf people, illustrating the symbolic significance they placed on sexuality and reproduction.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
36,6409,900BC-800BC,Excavated/Findspot: Nimrud (?),limestone,carved; drilled (eye sockets),,cattle,,Neo-Assyrian,Mesopotamian,iraq,"This Neo-Assyrian limestone furniture finial, dating from 900-800 BCE, is a remarkable artifact carved into the shape of a calf's head. The skillful craftsmanship is evident in the finely carved features, notably the hollow, drilled eye sockets that give the object an expressive appearance. Such decorative elements were commonly used in furnishings to signify status and cultural symbolism, with cattle often representing abundance and strength in Mesopotamian culture. This piece was excavated, or possibly found, at the renowned archaeological site of Nimrud in Iraq, a location central to the Assyrian Empire. The use of white limestone and the distinctive artistic techniques employed reflect the rich cultural and artistic traditions of the Neo-Assyrian period.",-900.0,-800.0,True,success,Nimrud,Iraq,success
37,6419,2600BC-2500BC,Excavated/Findspot: Ur (historic - city),shell,incised; inlaid,,priest/priestess,,Early Dynastic III,Mesopotamian,iraq,"This Early Dynastic III artifact from Mesopotamia, dating between 2600 and 2500 BC, is an exquisite shell inlay with an incised design, depicting a standing figure engaged in a libation ritual, likely representing a priest or priestess. The intricate craftsmanship, achieved through incising and inlaying techniques, highlights the skill and artistry of ancient Mesopotamian artisans. This artifact was excavated from the historic city of Ur in present-day Iraq, offering a tangible connection to the religious and cultural practices of one of the world's earliest urban civilizations.",-2600.0,-2500.0,True,success,Ur,Iraq,success
38,6445,2141BC-2122BC,Excavated/Findspot: Ur (historic - city),limestone,high relief; carved,Inscription type: inscription Inscription note: Inscription of Utu Hegal.,sun/moon,Named in inscription: Utu-Hegal,Third Dynasty of Ur,Mesopotamian,iraq,"This artifact is a portion of a limestone monument from the Third Dynasty of Ur, dating between 2141-2122 BCE. It is crafted using high relief carving techniques, showcasing representations of the sun and moon positioned above an inscription. The inscription, partially preserved with eight lines, mentions Utu-Hegal, a significant figure from this era. The limestone composition lends a timeless quality to the piece, which embodies the symbolic importance of celestial bodies in the culture of ancient Mesopotamia. Excavated from the historic city of Ur, located in present-day Iraq, this monument provides invaluable insight into early Mesopotamian art and governance during a pivotal period of history.",-2141.0,-2122.0,True,success,Ur,Iraq,success
39,6459,2400BC-2200BC,Excavated/Findspot: Royal Cemetery (Ur),copper alloy; shell; aragonite; cornelian; lapis lazuli; gold; agate,drilled,,mythical figure/creature,,Akkadian,Mesopotamian,iraq,"This assemblage of artifacts from the Akkadian culture, dating from 2400-2200 BCE, was excavated at the Royal Cemetery of Ur, a site renowned for its rich historical significance in ancient Mesopotamia. It includes two fragments of copper alloy pins that have been rejoined, accompanied by a copper alloy hair-ring and a distinctly crafted aragonite or shell cylinder seal, notable for its central drilling. The seal artistically portrays a captivating contest scene featuring a long-haired bull-man, two antithetical human-headed bulls, and two bearded heroes in conflict, one adorned in a flat cap and both donning skirts, further accentuated with traces of copper staining on one side. Additionally, the find encompasses fourteen meticulously drilled beads comprised of six cornelian, four lapis lazuli, two gold, and one banded agate. These beads vary in form, with ten being barrel-shaped and three double conoid, as well as an additional copper alloy bead fragment. These objects, found collectively and catalogued together, provide a unique insight into the intricate artistry and symbolic motifs prevalent in Akkadian society.",-2400.0,-2200.0,True,success,Royal Cemetery,Iraq,success
40,6477,3300BC-3000BC,Excavated/Findspot: Warka (probably),stone,carved,,cattle; bird; costume/clothing; mesopotamian hero,,Late Uruk,Mesopotamian,iraq,"This Late Uruk stone cult vessel, dating from 3300 to 3000 BCE, is an intricate example of Mesopotamian artistry. The miniature vase is distinctly supported by a pair of hero figures, each adorned with belts, who are depicted grasping two bulls with birds precariously perched on their backs. These hero figures, possibly understood as protective spirits, suggest a cultural emphasis on safeguarding livestock, an integral aspect of ancient Mesopotamian life. Carved with precision, this piece exemplifies the ceremonial objects that typify the period, reflecting both artistic skill and religious significance. The vessel was excavated at Warka, a significant archaeological site in Iraq, providing further context to its historical and cultural dimensions.",-3300.0,-3000.0,True,success,Warka,Iraq,success
41,6506,6000BC-5000BC,Excavated/Findspot: Arpachiyah,limestone,incised; perforated,,,,Halaf,Mesopotamian,iraq,"This Halaf limestone stamp seal, dating from 6000 to 5000 BC, exemplifies early Mesopotamian craftsmanship with its flat, rectangular form and intricately incised compartmented geometric pattern on the base. A hole is pierced through the center and features a perforated lug at the back, though it is noted to be incomplete due to a broken lug. The seal bears deposits and possible abrasion marks, indicating extensive use or wear over time. This artifact, crafted through incising and perforation techniques, underscores the significance of symbolic seals in the Halaf culture. Unearthed at the archaeological site of Arpachiyah in Iraq, it offers a glimpse into the technological and artistic capabilities of one of the earliest known cultures within the Mesopotamian region.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
42,6512,6000BC-5000BC,Excavated/Findspot: Arpachiyah,steatite,incised; pierced (?),,leaf,,Halaf,Mesopotamian,iraq,"This Mesopotamian artifact, originating from the Halaf culture and dating between 6000-5000 BCE, is a white steatite stamp-seal, possibly also serving as an amulet. Shaped like a gable, the seal is intricately incised with a leaf design on its base. A broken pierced lug at the back suggests it may have been worn or suspended, although now it is chipped, abraded, and bears deposits from its age. The artifact's technique includes incised and possibly pierced detailing, revealing the skilled craftsmanship of the period. Excavated from Arpachiyah, this piece provides valuable insight into early decorative and symbolic practices in ancient Iraq.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
43,6543,5900BC-4000BC,Excavated/Findspot: Ur (historic - city),stone,pierced; engraved,,,,Ubaid,Mesopotamian,iraq,"This Ubaid-period stamp seal, dating from 5900 to 4000 BCE, is crafted from grey stone and features a gabled top with a hole pierced through it, indicative of its use as a personal or administrative tool. The base of the seal is engraved with a design that, although worn and indistinct, reflects the stylistic characteristics of the Mesopotamian Ubaid culture. This artifact, unearthed in the historic city of Ur in present-day Iraq, offers a glimpse into the early development of administrative practices in one of the cradle regions of civilization. Its careful crafting techniques, such as piercing and engraving, showcase the technological prowess of the time.",-5900.0,-4000.0,True,success,Ur,Iraq,success
44,6550,3000BC-2900BC,Excavated/Findspot: Tell Arsh,steatite,pierced; incised; drilled,,,,Jemdet Nasr,Mesopotamian,iraq,"This Jemdet Nasr black steatite stamp-seal, dating from 3000 to 2900 BC, presents a roughly rectangular block form with a hole pierced through its width, representative of early Mesopotamian craftsmanship. Its twin faces are incised with crude designs, including drill-hole outlines depicting a man amidst falling rain, accompanied by striatums on the edges and grooves along the sides. Despite some abrasion and chipped corners, it retains distinctive patches of brown deposit, attesting to its ancient origins. The seal was unearthed at Tell Arsh in Iraq, contributing valuable insights into the artistic and functional use of seals in early Mesopotamian society.",-3000.0,-2900.0,True,success,Tell Arsh,Iraq,success
45,6562,6000BC-5000BC,Excavated/Findspot: Arpachiyah,marble,incised; perforated,,,,Halaf,Mesopotamian,iraq,"This circular marble stamp-seal, dating from the Halaf culture between 6000 BC and 5000 BC, exemplifies early Mesopotamian artistry and utility. Crafted from light brown marble, the seal features a flat base meticulously incised with criss-cross lines that form a geometric pattern, indicative of the period's aesthetic sensibility. The back of the seal is perforated, suggesting its use in practical applications, perhaps as a tool for impressing designs or as a personal identifier. Originating from the archaeological site of Arpachiyah in modern-day Iraq, this artifact provides valuable insight into the daily life and symbolic practices of the Halaf civilization.",-6000.0,-5000.0,True,success,Arpachiyah,Iraq,success
46,6565,4000BC-3000BC,Excavated/Findspot: Ur (historic - city),steatite,engraved; pierced,,reptile,,Uruk,Mesopotamian,iraq,"This remarkable artifact is a domed stamp-seal from the Uruk culture, dating back to the fourth millennium BCE (4000-3000 BCE). Crafted from grey-green steatite, the seal is masterfully engraved and pierced longitudinally near its flat surface. The flat side of the seal features an intricate design of three serpents intertwined with other indistinct marks, while its domed back is characterized by seven shallow drill holes. Though worn, abraded, and chipped, the seal provides a compelling glimpse into early Mesopotamian craftsmanship and symbolism, particularly in its representation of serpents, which may have held cultural or religious significance. This seal was excavated at the historic city of Ur in present-day Iraq, a vital center of ancient civilization, thus contributing to our understanding of the early development of urban societies in Mesopotamia.",-4000.0,-3000.0,True,success,Ur,Iraq,success
47,6579,2400BC,Found/Acquired: Iraq,gypsum,carved,,animal,Named in inscription: Enzi (Dedicator of statue);  Named in inscription: Amar-Kiku (son of dedicator of statue),Early Dynastic III,Mesopotamian,iraq,"This gypsum statue, crafted during the Early Dynastic III period around 2400 BC, originates from Iraq and represents a seated man on an elaborately carved chair with legs designed in the shape of animals. The statue, though cracked, maintains its historical allure, epitomizing the intricate craftsmanship of Mesopotamian artisans. This artifact is linked by inscription to Enzi, the dedicator, and Amar-Kiku, his son, adding personal historical significance to the piece. Excavated in Iraq, the statue provides a glimpse into the symbolic and artistic practices of the era, highlighting the civilization's penchant for detailed narrative representation and the use of iconography in sculptural art.",-2400.0,-2400.0,False,success,Iraq,Iraq,success
48,6583,675BC-625BC,"Found/Acquired: Iraq, North",gypsum,painted,,king/queen,,Neo-Assyrian,Mesopotamian,iraq,"This Neo-Assyrian gypsum fragment, dating from 675 to 625 BC, is a remnant from the base of a royal figure, discovered in Northern Iraq. The fragment vividly depicts a king in ritual dress, with feet oriented to the left, adorned in elaborately decorated shoes and tasselled robes. Remarkably, traces of paint remain well-preserved on this piece, providing rare insight into the polychrome aesthetics of Neo-Assyrian art. Its original context within Assyrian society underscores the importance of royal iconography and ceremonial attire, reflecting the cultural and artistic practices of the time.",-675.0,-625.0,True,success,Iraq,Iraq,success
49,6584,2150BC-2000BC,Found/Acquired: Iraq,limestone,carved,,,,Third Dynasty of Ur,Mesopotamian,iraq,"This artifact is a carved limestone fragment of a statue dating from 2150 to 2000 BCE, originating from the Third Dynasty of Ur in Mesopotamia. The surviving portion of the statue depicts the upper part of a woman's breast and her clasped hands, while the head and lower body are missing, offering a glimpse into the sculptural practices and artistic conventions of the time. The statue was found in Iraq, providing valuable insight into the iconography and cultural expressions of the ancient Mesopotamian civilization during this period.",-2150.0,-2000.0,True,success,Iraq,Iraq,success
50,3137,1476BC-1457BC (circa),Found/Acquired: Egypt,glazed composition; gold,glazed; pierced; incised,"Inscription type: inscription Inscription position: bezel Inscription script: hieroglyphic Inscription translation: Titles/epithets include :The Good Goddess Maatkare, may she live. Inscription note: Incised prenomen.",,Named in inscription: Hatshepsut,18th Dynasty,Ancient Egyptian,Egypt,"This exquisite Ancient Egyptian artifact from the 18th Dynasty, dating circa 1476-1457 BC, is a gold finger-ring featuring a turquoise-green glazed composition scarab as its bezel. The scarab is intricately detailed on its back and is set in a gold mount, inscribed with the prenomen or throne name of the renowned Queen Hatshepsut, flanked by hieroglyphs that translate to ""The Good Goddess Maatkare, may she live."" The ring's construction boasts a hollow gold foil shank, cleverly folded around a wire, with an additional wire threaded through the scarab's piercing to enable its swiveling function. The skillfully applied techniques include glazing, piercing, and incising, reflecting the craftsmanship of the era. This artifact, discovered in Egypt, offers a glimpse into the opulent and symbolically rich adornments of Egyptian royalty.",-1476.0,-1457.0,True,success,Egypt,Egypt,success
51,3166,1390BC-1352BC (circa),Found/Acquired: Egypt,glazed composition,glazed; painted,Inscription type: inscription Inscription script: hieroglyphic Inscription translation: Titles/epithets include : Good God Inscription note: Painted.,,Named in inscription: Amenhotep III,18th Dynasty,Ancient Egyptian,Egypt,"This elliptical name-bead from the 18th Dynasty, dated circa 1390-1352 BC, exemplifies the intricate artistry of Ancient Egyptian craftsmanship. Created from a bichrome glazed composition, it features a striking white on blue finish. The bead is designed with a double piercing and a cord channel on the back, allowing it to be worn as an adornment. The front of the bead is adorned with a painted cartouche that holds the prenomen of Pharaoh Amenhotep III, accompanied by the epithet ""Good God,"" rendered in hieroglyphic script. This inscription emphasizes the divine and regal nature of the pharaoh's persona during his reign. The bead was found in Egypt, serving as a testament to the enduring legacy of Amenhotep III within Egyptian history and art.",-1390.0,-1352.0,True,success,Egypt,Egypt,success
52,3170,650BC (after),Found/Acquired: Egypt,glazed composition,glazed; incised,Inscription type: inscription Inscription position: bead face Inscription script: hieroglyphic Inscription translation: Psamtek (Psammetichus),,Named in inscription: Psamtek,26th Dynasty,Ancient Egyptian,Egypt,"This necklace from ancient Egypt, dating to the period after 650 BCE during the 26th Dynasty, is a remarkable artifact consisting of numerous green-blue glazed composition rectangular beads or plaques. Each bead is intricately incised with hieroglyphs naming Psamtek, known as Psammetichus, and features two longitudinal perforations for stringing. The glazing and incised techniques used highlight the sophisticated craftsmanship of the era. The necklace, associated with Psamtek—a prominent figure of the 26th Dynasty—illuminates the cultural and artistic practices of ancient Egypt. Discovered in Egypt, this piece serves as a testament to the region's rich history and the enduring legacy of its pharaonic rulers.",-650.0,-650.0,False,success,Egypt,Egypt,success
53,3171,664 BC-402 BC (probably 6th century BC),Excavated/Findspot: Naukratis,glazed composition,mould-made; incised,Inscription type: inscription Inscription position: Front Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: jmn-ra wp rnpt nfr [...] Inscription translation: May Amun-Ra inaugurate a perfect year [...] Inscription note: Traditional wishes found on New Year's flasks.,,Named in inscription: Amun-Ra,Late Period; 26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a glazed composition New Year's flask from the Late Period, specifically the 26th Dynasty of Ancient Egypt, dating to approximately the 6th century BC. The flask, though partially preserved, displays intricate geometric designs such as tear drops and rectangles arranged in a broad collar of concentric registers on its upper body. A central vertical band features a hieroglyphic inscription, which is framed by vertical bands decorated with a scale pattern. The inscription, rendered in Egyptian hieroglyphics, translates to a traditional blessing: ""May Amun-Ra inaugurate a perfect year."" Crafted using a mould-made technique from a now glaze-lost greenish-yellow fine paste, this object reflects the cultural significance of Amun-Ra in New Year rituals. The flask was excavated at Naukratis, one of the key Greek trading hubs in Egypt, emphasizing its role in cultural exchanges of the period.",-664.0,-402.0,True,success,Naukratis,Egypt,success
54,3183,1275BC (circa),Found/Acquired: Memphis (historic - Egypt),glazed composition,glazed; inlaid; pierced,"Inscription type: inscription Inscription position: pectoral front Inscription script: hieroglyphic Inscription translation: Titles/epithets include : Lady of the West
Titles/epithets include : Mistress of the Necropolis Inscription note: Inlaid.; Inscription type: inscription Inscription position: scarab Inscription script: hieroglyphic Inscription translation: Titles/epithets include : Lady Inscription note: Painted.",ancient egyptian deity; eye of horus,Named in inscription & portrayed: Isis;  Named in inscription & portrayed: Nephthys;  Named in inscription: Ptahemheb (deceased),19th Dynasty,Ancient Egyptian,Egypt,"This exquisite 19th Dynasty Egyptian pectoral, dated circa 1275 BC, is a remarkable example of ancient artistry and religious symbolism. Crafted from glazed composition, it is shaped like a pylon, mimicking the monumental gateway entrances of Egyptian temples. The pectoral features sloping sides and a curved cavetto cornice, decorated with block patterns around its edges. Its vibrant color palette—yellow inlaid with blue, red, and green glazes—emulates precious materials like gold, lapis lazuli, cornelian, and turquoise. Central to the design is a dark blue heart scarab, representing lapis lazili and depicted within a solar barque, flanked by the goddesses Isis and Nephthys, whose hieroglyphic inscriptions label them as ""Lady of the West"" and ""Mistress of the Necropolis."" Additional protective symbols include a 'djed' pillar, the Girdle of Isis amulet, and two wedjat eyes, all intricately inlaid with polychrome glazes. On the pectoral's reverse, Chapter 30B from the 'Book of the Dead' is inscribed in turquoise green hieroglyphs, naming the deceased as Lady Ptahemheb. The underside also features a pattern of parallel dark blue lines forming a square frame around the scarab. Six holes are strategically placed for attachment to mummy wrappings, indicating its funerary use. Unearthed in historic Memphis, this pectoral highlights the convergence of artistry, religious devotion, and funerary practices in ancient Egypt.",-1275.0,-1275.0,False,success,Memphis,Egypt,success
55,3201,664 BC-510 BC (?); 589 BC - 570 BC (?),Excavated/Findspot: Naukratis,glazed composition,glazed; mould-made; pierced; stamped (possibly),Inscription type: inscription Inscription position: underside Inscription language: Egyptian Inscription script: hieroglyphic Inscription transliteration: wAH-ib-ra Inscription translation: Wahibre (Constant [is the] Heart [of] Re) Inscription note: Either prenomen of Psamtek I or nomen of Apries.,,Named in inscription: Psamtek I (?);  Named in inscription: Apries,26th Dynasty,Ancient Egyptian,Egypt,"This artifact is a mould-made scarab crafted from a glazed composition, dating from the 26th Dynasty of Egypt, approximately between 664 and 510 BC, plausibly during the reigns of Psamtek I or Apries. The scarab's back is simply modeled, featuring single lines delineating the prothorax and elytra, while the sides display highly simplified legs indicated by two horizontal grooves. Its underside is adorned with a hieroglyphic inscription, horizontally organized and deeply impressed, reading ""wAH-ib-ra,"" which translates to ""Wahibre (Constant [is the] Heart [of] Re)."" This inscription may reference the prenomen of Psamtek I or the nomen of Apries. Pierced longitudinally, the scarab exhibits a dirty brown glaze, possibly yellow originally, with a hard, pale yellow core underneath. This piece, excavated from Naukratis, reflects the intricate religious and cultural symbolism prevalent during the period, serving both as an amulet and a testament to the artistry of the era.",-664.0,-510.0,True,success,Naukratis,Egypt,success
56,6593,2600BC,Excavated/Findspot: Abu Habba (Sippar),gypsum; alabaster,carved,,costume/clothing,,Early Dynastic III,Mesopotamian,iraq,"This Early Dynastic III statue, dating back to approximately 2600 BC, hails from ancient Mesopotamia and was discovered in the archaeological site of Abu Habba, known as Sippar, in present-day Iraq. Skillfully carved from gypsum or alabaster, this sculpture depicts a standing woman, though only the shoulder and part of the body remain intact. The partially preserved figure is characterized by her hands clasped on her breast, adorned in a dress that gracefully drapes over her left shoulder. This statue not only highlights the stylistic and cultural elements of the time, particularly the distinctive costume, but also contributes valuable insights into the artistic expressions during the early periods of Mesopotamian civilization.",-2600.0,-2600.0,False,success,Abu Habba,Iraq,success
57,5046,618-906,Found/Acquired: Changsha (?),stoneware; metal,glazed,,,,Tang dynasty,Tang dynasty,China,"This bowl, dated from the Tang dynasty (618-906 CE), exemplifies the exquisite craftsmanship of Chinese artisans of that era. It is constructed from yue, a type of olive-brown glazed stoneware, distinguished by its attractive sheen and durability, and features a metal liner that adds both functionality and a touch of elegance. This piece reflects the advanced ceramic techniques characteristic of the Tang period. The bowl was found in or acquired from the region of Changsha, hinting at the widespread production and utilization of such wares across China during this culturally rich dynasty.",618.0,906.0,True,success,Changsha,China,success
58,5075,618-906,Found/Acquired: China,earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This exquisite bowl, originating from the Tang dynasty and dating from 618 to 906 CE, is a remarkable example of Chinese artistry. Crafted from blue glazed earthenware with a buff hue, it embodies the sophisticated glazing techniques perfected during this period. The Tang dynasty was renowned for its cultural and artistic flourishing, with ceramics playing a crucial role in their material culture. This bowl, unearthed in China, provides a tangible connection to the opulence and innovation of the era, reflecting the aesthetic values and technological advancements of its time.",618.0,906.0,True,success,China,China,success
59,5170,618-906,Found/Acquired: China,earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This exquisite ceramic bowl, dating from 618-906 CE, hails from the illustrious Tang dynasty in China. It is crafted from earthenware and distinguished by its striking green, yellow, and cream glazing, enhanced with an iridised finish that lends a shimmering quality to the piece. The bowl embodies the Tang dynasty's renowned artistic innovation and aesthetic sophistication, reflecting the era's mastery in ceramic production. Discovered in China, this artifact provides a tangible link to the rich cultural and historical tapestry of ancient Chinese society during one of its most celebrated periods.",618.0,906.0,True,success,China,China,success
60,5380,680-740,Found/Acquired: China,earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This elegant Tang dynasty lead-glazed lidded box, dating from 680-740 CE, exemplifies the sophisticated craftsmanship of the period. It is crafted from earthenware and features a distinctive transparent, mottled cobalt blue glaze, commonly associated with 'sancai' ware. The presence of a knob on its lid and an unglazed base adds to its practical and aesthetic appeal. This artifact, originating from China, embodies the decorative and functional qualities prized during the Tang dynasty, a time noted for its artistic flourishing. ",680.0,740.0,True,success,China,China,success
61,5388,618-906,Found/Acquired: China,earthenware,glazed,,,,Tang dynasty,Tang dynasty,China,"This exquisite Tang dynasty cup, produced between 618-906 CE in China, is a fine example of the era's captivating earthenware craftsmanship. The cup is adorned with a striking blue and yellow glaze, reflecting the vibrant aesthetic preferences of the period. Crafted from earthenware, the piece embodies the skilled glazing techniques that were prominent during the Tang dynasty, known for its rich cultural and artistic advancements. Discovered in China, this artifact provides a glimpse into the material culture and artistry of one of China's most celebrated historical periods.",618.0,906.0,True,success,China,China,success
62,5400,618-906,Found/Acquired: China,porcelain,marbled; glazed,,,,Tang dynasty,Tang dynasty,China,"This Tang Dynasty marbled ware cup, produced between 618-906 CE in China, showcases the innovative ceramic techniques of the period. It is crafted from red and buff earthenware, artistically blended to create a marbled effect, and covered with a transparent yellow lead glaze that enhances its visual appeal. The method involved mixing two differently colored earthenware clays before modeling the piece, resulting in a unique and intricate pattern synonymous with Tang artistic expression. Discovered in China, this porcelain artifact embodies the sophistication and craftsmanship prevalent in Tang Dynasty ceramics.",618.0,906.0,True,success,China,China,success
63,5401,618-906,Excavated/Findspot: Samarra,porcelain; pottery,glazed,,,,Tang dynasty,Tang dynasty,China,"This Tang dynasty sherd, dated between 618-906 CE, is a fragment of a cup rim crafted from white glazed porcelain. The exterior is adorned with two horizontal bands, indicative of the refined ceramic techniques characteristic of the era. Originating from China, this piece reflects the artistic elegance and technical advancements that define Tang dynasty porcelain. The sherd was excavated in Samarra, offering valuable insights into the cultural and trade exchanges that occurred between China and the regions beyond during this vibrant period of history.",618.0,906.0,True,success,Samarra,Iraq,success
64,5431,618-906,Found/Acquired: China,stoneware,glazed,,,,Tang dynasty,Tang dynasty,China,"This elegantly crafted ewer from the Tang dynasty, produced between 618-906 CE, exemplifies the era's remarkable stoneware artistry. Fashioned from durable stoneware and finished with a lustrous glaze, this vessel reflects the aesthetic sophistication and technical innovation of Tang artisans. Though devoid of inscriptions, its form and material speak to the cultural and functional values of the period, often associated with the opulence of imperial China. Discovered in China, it provides invaluable insight into the domestic and ceremonial practices of the time, underscoring the enduring influence of Tang ceramic craftsmanship.",618.0,906.0,True,success,China,China,success
65,5445,618-906,Found/Acquired: China,stoneware,glazed,,,,Tang dynasty,Tang dynasty,China,"This exquisite ewer, hailing from the Tang dynasty and produced between 618-906 CE, exemplifies the refined artistry of Chinese ceramics during this period. Crafted from glazed stoneware, the piece displays the characteristic craftsmanship and aesthetic sensibilities of the Tang era, known for its innovation and vibrancy in ceramic production. Discovered in China, this artifact provides valuable insight into the daily life and material culture of a civilization recognized for its artistic and cultural advancements. The ewer's elegant form and enduring material underscore its function as both a utilitarian object and a work of art.",618.0,906.0,True,success,China,China,success
66,5474,630-380,Found/Acquired: Luoyang (?),earthenware,glazed,,animal,,Tang dynasty,Tang dynasty,China,"This glazed earthenware figure of a boar, originating from China and dating between 630-380 BCE, exemplifies the artistic craftsmanship of the Tang dynasty. Constructed from straw-glazed earthenware, this piece showcases the traditional techniques used by artisans of the time to create lifelike animal representations that were often employed for burial purposes or as household ornaments. The figure was discovered in the region of Luoyang, a city with a rich historical significance as a center of culture and politics in ancient China. Through its material and form, this artifact offers insights into the Tang dynasty's aesthetic values and symbolic expressions with animal motifs.",380.0,630.0,True,success,Luoyang,China,success
